No,name,addr,x,y,state,number,amount,zero
96,동천동행정복지센터,대구광역시 북구 대천로 81(동천동),128.5581816,35.93732745,정좌표,57,1825 ,1825
97,관음동행정복지센터,대구광역시 북구 관음동로 125 (관음동),128.5473269,35.94425419,정좌표,43,1191 ,1191
98,검단동행정복지센터,대구광역시 북구 검단로41길 12 (검단동),128.6272161,35.9134626,정좌표,11,401 ,401
99,산격2동행정복지센터,대구광역시 북구 동북로31길 30,128.6092565,35.90173502,정좌표,15,474 ,474
100,복현2동행정복지센터,대구광역시 북구 복현로8길 16-5,128.6254885,35.89536208,정좌표,36,1153 ,1153
101,태전2동행정복지센터,대구광역시 북구 칠곡중앙대로52길 32,128.5487627,35.92149203,정좌표,0,0 ,1454
102,산격1동행정복지센터,대구광역시 북구 연암로36길 6,128.5971032,35.90051355,정좌표,0,0 ,1454
103,칠성동행정복지센터,대구광역시 북구 칠성로19길 4,128.6000193,35.87922469,정좌표,0,0 ,1454
104,두산오거리(두산스포츠 북동편 도로 면),대구광역시 수성구 두산동 954-14,128.624544,35.82838917,인근좌표,67,2137 ,2137
105,수성구청,대구광역시 수성구 달구벌대로 2450,128.6300208,35.85835349,정좌표,223,3715 ,3715
106,수성대학교 입구 우,대구광역시 수성구 달구벌대로 529길,128.6213958,35.85993244,인근좌표,53,1717 ,1717
107,수성대학교 입구 좌,대구광역시 수성구 달구벌대로 528길,128.6501243,35.85594966,인근좌표,74,2372 ,2372
108,시지근린공원(누리타운 서편 도로면),대구광역시 수성구 달구벌대로 637길 5,128.7060374,35.84135706,정좌표,46,1594 ,1594
109,어린이회관,대구광역시 수성구 동대구로 176,128.6270136,35.84767227,정좌표,65,1330 ,1330
110,외환들공영주차장,대구광역시 수성구 미술관로 40,128.6743403,35.82702862,정좌표,22,221 ,221
111,차량등록사업소1,대구광역시 수성구 동원로 84,128.639751,35.86663137,정좌표,229,3979 ,3979
112,파동교네거리주차장,대구광역시 수성구 파동 274,128.6221493,35.81146986,정좌표,253,6018 ,6018
113,대구환경공단(지산),대구광역시 수성구 무학로 112,128.6205773,35.82937438,정좌표,201,4190 ,4190
114,차량등록사업소(본소),대구광역시 수성구 동원로 84,128.639751,35.86663137,정좌표,0,0 ,1454
115,황금1동 행정복지센터,대구광역시 수성구 청호로57길 10,128.6381409,35.84397692,정좌표,0,0 ,1454
116,대구은행 파동지점,대구광역시 수성구 수성로 5,128.6098758,35.82598913,정좌표,162,4134 ,4134
117,지산근린공원 주차장,대구광역시 수성구 용학로 267,128.6376097,35.8209278,정좌표,83,1693 ,1693
118,수성의료지구,대구광역시 수성구 노변동 544-1,128.6939786,35.83460957,인근좌표,0,0 ,1454
119,명복공원 주차장,대구광역시 수성구 달구벌대로 541길 47,128.6586517,35.85793869,정좌표,55,1004 ,1004
120,대구은행 시지지점,대구광역시 수성구 달구벌대로 3196,128.7061657,35.84013416,정좌표,101,2064 ,2064
121,수성아트피아,대구광역시 수성구 무학로 180,128.6282745,35.82928315,정좌표,152,3908 ,3908
122,수성의료지구(대구도시공사),대구광역시 수성구 대흥동 286-1,128.6850322,35.83782917,인근좌표,0,0 ,1454
123,대구은행 본점,대구광역시 수성구 달구벌대로 2310,128.6149475,35.85931475,정좌표,0,0 ,1454
124,KS택시,대구광역시 수성구 희망로 226,128.623415,35.84611814,정좌표,0,0 ,1454
125,저소득층 밀집지구 지식산업센터,대구광역시 수성구 알파시티1로 160,128.6824493,35.835319,정좌표,0,0 ,1454
126,만촌2동행정복지센터,대구광역시 수성구 무열로 12,128.647228,35.85986045,정좌표,15,233 ,233
