num,x,y
171,128.5792008,35.87393726
172,128.6118461,35.87248707
173,128.610498,35.87233082
174,128.606108,35.8665057
175,128.6071231,35.8605655
176,128.6083336,35.85863518
177,128.6094344,35.86434709
178,128.6087747,35.85997827
179,128.6085292,35.85625775
180,128.6067528,35.86420393
181,128.604063,35.86292615
182,128.6057781,35.86841484
183,128.5863278,35.87504082
184,128.5996178,35.85700969
185,128.5829551,35.87705155
186,128.5815844,35.87751252
187,128.5801886,35.87557386
188,128.5869848,35.87595807
189,128.5862629,35.87692541
190,128.5910379,35.87576265
191,128.5892235,35.8771058
192,128.5950172,35.87540908
193,128.5966201,35.87587426
194,128.5987474,35.87524827
195,128.5897938,35.87614985
196,128.5920282,35.86858269
197,128.5931282,35.86935387
198,128.594525,35.86849411
199,128.5800751,35.86454904
200,128.5921493,35.87655194
201,128.5854442,35.85709178
202,128.5952567,35.8673126
203,128.637467,35.913163
204,128.5822673,35.87849137
205,128.5789093,35.86117666
206,128.5801684,35.86085824
207,128.6101794,35.8707482
208,128.5835307,35.87847225
209,128.5812856,35.85955174
210,128.5812954,35.86140874
211,128.5935956,35.87562897
212,128.581064,35.86408025
213,128.5858767,35.86060443
214,128.5988537,35.86321376
215,128.6378505,35.91174903
216,128.5941091,35.86750753
217,128.5976329,35.86496679
218,128.5869874,35.86176489
219,128.5863686,35.85655937
220,128.5840396,35.86072215
221,128.5792113,35.86559684
222,128.5928701,35.857252
223,128.5905395,35.87208766
224,128.5913297,35.86127115
225,128.5979557,35.86935168
226,128.5969307,35.86720523
227,128.5948628,35.87104154
228,128.5923087,35.87144243
229,128.5999942,35.86340642
230,128.6000587,35.85838832
231,128.5999558,35.86451458
232,128.5916481,35.8642308
233,128.5944149,35.86428248
234,128.5957564,35.86289785
235,128.5929515,35.86115572
236,128.6067657,35.86191972
237,128.5945093,35.85832346
238,128.5951166,35.87288186
239,128.5914425,35.87483076
240,128.5906273,35.87695951
241,128.593269,35.85832056
242,128.600612,35.85723799
243,128.6074791,35.86346735
244,128.5871673,35.86923411
245,128.6051369,35.85708448
246,128.5840551,35.87369814
247,128.5896533,35.87293101
248,128.6546345,35.91194514
249,128.5914733,35.87042797
250,128.6089283,35.86548487
251,128.6138433,35.86807798
252,128.5823817,35.86875935
253,128.600242,35.87520809
254,128.5959671,35.85721258
255,128.5934143,35.86838427
256,128.6661573,35.9195765
257,128.5895079,35.85897155
258,128.6000748,35.86594979
259,128.6022566,35.8725505
260,128.6009913,35.87093143
261,128.607038,35.85956035
262,128.6144733,35.86724134
263,128.6015598,35.86477444
264,128.6012267,35.87368609
265,128.5858785,35.85830311
266,128.6009755,35.86702
267,128.6042029,35.85828432
268,128.6061783,35.87176138
269,128.614743,35.86869582
270,128.6493981,35.9314265
271,128.5879968,35.87322692
272,128.5869178,35.87392142
273,128.604511,35.86904225
274,128.5891599,35.86914936
275,128.605726,35.86474522
276,128.6044939,35.87221561
277,128.6078284,35.8622937
278,128.6082357,35.86681033
279,128.6119888,35.86891995
280,128.6104957,35.86248979
281,128.608233,35.87059226
282,128.6125611,35.86405592
283,128.6076345,35.85580174
284,128.606939,35.87077596
285,128.6907236,35.90837666
286,128.6041162,35.85678224
287,128.6032351,35.85966788
288,128.6049371,35.85593995
289,128.6123757,35.86611904
290,128.6112461,35.86980865
291,128.6079502,35.85727379
292,128.6097175,35.86077572
293,128.608527,35.86136528
294,128.599091,35.87019113
295,128.599503,35.87118489
296,128.5978623,35.86279444
297,128.5920018,35.8632534
298,128.5948229,35.86027194
299,128.5969527,35.86931911
300,128.593259,35.87065756
301,128.5964026,35.85812336
302,128.5991865,35.86220401
303,128.608257,35.87272694
304,128.5943548,35.86999276
305,128.6126076,35.87130239
306,128.6011481,35.85825713
307,128.6035378,35.8695649
308,128.6069346,35.87311149
309,128.5897335,35.8605214
310,128.6016641,35.86118729
311,128.6104055,35.87350305
312,128.5838365,35.85916643
313,128.6085856,35.85522302
314,128.6131845,35.8730957
315,128.6054392,35.86369353
316,128.5934878,35.87173061
317,128.5956177,35.86926058
318,128.5807666,35.87334656
319,128.5821552,35.87382508
320,128.6091763,35.86848656
321,128.603034,35.86340224
322,128.5872072,35.85787001
323,128.6741049,35.91735845
324,128.591574,35.86708082
325,128.6012018,35.86584961
326,128.6039109,35.87330317
327,128.5803678,35.8619726
328,128.6017989,35.85585418
329,128.5829054,35.87309394
330,128.6020655,35.87479968
331,128.5809714,35.86288226
332,128.6024553,35.86247301
333,128.6096076,35.86184017
334,128.5886641,35.86644188
335,128.6015958,35.87013438
336,128.5870735,35.8665666
337,128.5883901,35.8593244
338,128.6046852,35.86133268
339,128.6004696,35.86160305
340,128.5787979,35.86255812
341,128.5830115,35.86694696
342,128.582802,35.87000138
343,128.6513497,35.91148499
344,128.6140769,35.87109105
345,128.588798,35.87235471
346,128.6055922,35.8606055
347,128.5887802,35.87411039
348,128.6892748,35.90608415
349,128.5830905,35.86372999
350,128.6015158,35.8634739
351,128.6760095,35.8962366
352,128.6154073,35.86951889
353,128.5838457,35.87620957
354,128.5933684,35.86510969
355,128.5875072,35.8566489
356,128.7496566,35.87318285
357,128.5784894,35.8598903
358,128.5844749,35.86170192
359,128.5905574,35.86606288
360,128.5903755,35.86175589
361,128.577591,35.86048185
362,128.5963284,35.87169864
363,128.5982665,35.85667723
364,128.5883767,35.87619361
365,128.5801935,35.86680642
366,128.5983802,35.87146398
367,128.5989526,35.8687166
368,128.5824081,35.87551042
